height,frame,idx,reflectivity,num,cell,y,x,timestr,hdim_1,hdim_2,threshold_value,feature,time,time_cell,ncells,median_background_noise,mean_background_noise,std_dev,iqr,percent_covered,sigma_threshold,segmentation_threshold
800.0,4,8,8.477128982543945,4,21,8907.617940288326,60535.598880997866,2026-02-20 11:49:56,22.022079444785533,45.73533351025636,6.912739038467407,93,2026-02-20 11:49:56,0 days 00:00:00,9.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,5,15,14.431035041809082,7,21,7590.748981736993,61405.69171705649,2026-02-20 11:54:09,19.168863367924313,47.63155742490056,11.912739038467407,112,2026-02-20 11:54:09,0 days 00:04:13,27.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,6,26,21.519859313964844,6,21,7467.408782400529,64085.62361257882,2026-02-20 11:58:32,18.901626269361973,53.47202724525526,16.912739038467407,135,2026-02-20 11:58:32,0 days 00:08:36,39.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,7,25,15.801480293273926,6,21,7289.95910246821,66803.18335002809,2026-02-20 12:02:45,18.51715196284195,59.39450074471335,16.912739038467407,151,2026-02-20 12:02:45,0 days 00:12:49,45.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,8,18,17.760761260986328,4,21,7051.363674820129,70209.26667538537,2026-02-20 12:07:07,18.00019520293777,66.8174979113952,16.912739038467407,165,2026-02-20 12:07:07,0 days 00:17:11,44.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,9,17,17.57754135131836,3,21,7512.812042695003,72972.48031703277,2026-02-20 12:11:20,19.0,72.83946656970265,16.912739038467407,176,2026-02-20 12:11:20,0 days 00:21:24,58.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,10,18,18.366655349731445,4,21,7051.273581156542,74932.6387545758,2026-02-20 12:15:43,18.0,77.11130878207811,16.912739038467407,186,2026-02-20 12:15:43,0 days 00:25:47,77.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,11,29,15.711249351501465,3,21,6387.726225051891,76199.90608908956,2026-02-20 12:20:06,16.562314061773257,79.87310904794137,16.912739038467407,204,2026-02-20 12:20:06,0 days 00:30:10,112.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,12,33,15.588587760925293,11,21,6335.053778552123,78563.23606042263,2026-02-20 12:24:19,16.448190427690427,85.02359716152839,16.912739038467407,229,2026-02-20 12:24:19,0 days 00:34:23,102.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,13,24,14.191696166992188,30,21,6860.480658598298,81054.07990460828,2026-02-20 12:28:24,17.58661533445714,90.45198074227872,11.912739038467407,245,2026-02-20 12:28:24,0 days 00:38:28,82.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,14,24,14.266642570495605,34,21,7070.909624176091,84349.88891940714,2026-02-20 12:32:47,18.04254475987569,97.63465322613821,11.912739038467407,267,2026-02-20 12:32:47,0 days 00:42:51,80.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,15,48,17.67487335205078,1,21,7512.812042695003,85894.09690886262,2026-02-20 12:37:09,19.0,101.0,16.912739038467407,306,2026-02-20 12:37:09,0 days 00:47:13,52.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,16,54,14.898844718933105,7,21,7474.6144552529295,88377.27962509579,2026-02-20 12:41:22,18.917238560542174,106.41168741519812,11.912739038467407,347,2026-02-20 12:41:22,0 days 00:51:26,42.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,17,52,14.813098907470703,5,21,7572.79082523906,90559.72678511527,2026-02-20 12:45:27,19.129954028845457,111.16797125730234,11.912739038467407,397,2026-02-20 12:45:27,0 days 00:55:31,30.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,18,59,13.792763710021973,2,21,7689.972447982905,92318.07437837278,2026-02-20 12:49:40,19.383847544790456,115.0,11.912739038467407,443,2026-02-20 12:49:40,0 days 00:59:44,18.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,19,63,12.53946304321289,1,21,7512.812042695003,95988.9186466643,2026-02-20 12:53:47,19.0,123.0,11.912739038467407,495,2026-02-20 12:53:47,0 days 01:03:51,12.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,20,15,10.203702926635742,1,21,7512.812042695003,98283.19631434651,2026-02-20 12:58:10,19.0,128.0,6.912739038467407,522,2026-02-20 12:58:10,0 days 01:08:14,6.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,34,53,12.999999046325684,1,192,9820.504350387311,53774.2095613118,2026-02-20 13:59:07,24.0,31.0,11.912739038467407,1234,2026-02-20 13:59:07,0 days 00:00:00,18.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,35,17,7.981385231018066,3,192,10061.827340125152,55833.642647021254,2026-02-20 14:03:30,24.522866477765323,35.488194944141185,6.912739038467407,1258,2026-02-20 14:03:30,0 days 00:04:23,11.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,36,77,18.57189178466797,2,192,10117.550780515547,58362.7648966762,2026-02-20 14:07:52,24.643600598611176,41.0,16.912739038467407,1347,2026-02-20 14:07:52,0 days 00:08:45,27.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,37,71,16.42380714416504,4,192,10138.430681730108,60656.75731276613,2026-02-20 14:12:16,24.68884038457606,45.99937834117403,16.912739038467407,1397,2026-02-20 14:12:16,0 days 00:13:09,84.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,38,62,21.311683654785156,16,192,10072.244864456923,59704.31014374682,2026-02-20 14:16:39,24.54543778048416,43.92367673269887,16.912739038467407,1438,2026-02-20 14:16:39,0 days 00:17:32,134.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,39,49,22.492332458496094,45,192,10140.335682811206,62534.794440949874,2026-02-20 14:21:02,24.692967886918442,50.09225069624741,16.912739038467407,1477,2026-02-20 14:21:02,0 days 00:21:55,147.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,40,51,15.928833961486816,41,192,9572.840907745196,62662.589983963844,2026-02-20 14:25:24,23.46339587427542,50.37076001709844,16.912739038467407,1512,2026-02-20 14:25:24,0 days 00:26:17,156.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,41,56,19.230384826660156,11,192,8854.176311854253,63188.73456505774,2026-02-20 14:29:47,21.90628924984504,51.51740540467577,16.912739038467407,1561,2026-02-20 14:29:47,0 days 00:30:40,171.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,42,67,18.22100257873535,11,192,9750.700443897344,62539.60695142569,2026-02-20 14:34:10,23.848758202605072,50.10273876956043,16.912739038467407,1618,2026-02-20 14:34:10,0 days 00:35:03,120.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,44,52,12.755913734436035,3,246,8292.9747756174,56338.5064259159,2026-02-20 14:42:37,20.690352587998525,36.588462331141216,11.912739038467407,1721,2026-02-20 14:42:37,0 days 00:00:00,13.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,45,67,17.0,1,246,8435.888965771926,57903.909363139755,2026-02-20 14:47:00,21.0,40.0,16.912739038467407,1781,2026-02-20 14:47:00,0 days 00:04:23,52.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,46,61,20.082672119140625,20,246,9881.129381626753,61605.64674215811,2026-02-20 14:51:12,24.131354234352123,48.06732644257056,16.912739038467407,1825,2026-02-20 14:51:12,0 days 00:08:35,75.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,47,54,16.86008644104004,15,246,10533.651167167987,63821.410191897456,2026-02-20 14:55:35,25.545151436358132,52.89621764643653,16.912739038467407,1867,2026-02-20 14:55:35,0 days 00:12:58,70.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
800.0,48,78,18.16545295715332,2,246,11364.827184464888,66163.30896679568,2026-02-20 14:59:58,27.346032807168086,58.0,16.912739038467407,1927,2026-02-20 14:59:58,0 days 00:17:21,70.0,3.9127390384674072,4.571230888366699,5.292054653167725,6.957387715578079,23.333195152620597,0.25,8
1100.0,0,7,7.766255855560303,1,-1,6128.196658079618,52856.49849423891,2026-02-20 11:32:35,16.0,29.0,7.659246444702148,3,2026-02-20 11:32:35,,1.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,0,11,10.53559684753418,6,-1,17372.948161485045,89112.48431939758,2026-02-20 11:32:35,40.36362825737843,108.01394485913805,7.659246444702148,6,2026-02-20 11:32:35,,14.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,0,25,8.121243476867676,1,-1,27358.96588884885,65245.59789972281,2026-02-20 11:32:35,62.0,56.0,7.659246444702148,16,2026-02-20 11:32:35,,4.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,0,27,13.440314292907715,1,-1,-1256.4187265357668,80387.83050642534,2026-02-20 11:32:35,0.0,89.0,12.659246444702148,17,2026-02-20 11:32:35,,23.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,0,30,12.836224555969238,3,-1,8612.855848807574,67509.18284120224,2026-02-20 11:32:35,21.38342824657724,60.9331102624693,12.659246444702148,19,2026-02-20 11:32:35,,39.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,0,32,13.4109525680542,1,-1,13512.812042695003,43220.532289973664,2026-02-20 11:32:35,32.0,8.0,12.659246444702148,20,2026-02-20 11:32:35,,37.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,0,37,13.393131256103516,2,-1,22282.04281192577,84832.52902220434,2026-02-20 11:32:35,51.0,98.68648777431824,12.659246444702148,25,2026-02-20 11:32:35,,27.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,0,38,12.74127197265625,1,-1,25051.273581156544,90023.79671069059,2026-02-20 11:32:35,57.0,110.0,12.659246444702148,26,2026-02-20 11:32:35,,12.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,0,39,13.134358406066895,16,-1,28010.23119028253,80960.35782604494,2026-02-20 11:32:35,63.411074819772985,90.24772892070644,12.659246444702148,27,2026-02-20 11:32:35,,47.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,1,2,8.241971969604492,2,-1,-943.4748999223807,86811.8079759355,2026-02-20 11:36:48,0.6780449576623365,103.0,7.659246444702148,30,2026-02-20 11:36:48,,2.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,1,5,7.789308547973633,1,-1,2435.8889657719255,58362.7648966762,2026-02-20 11:36:48,8.0,41.0,7.659246444702148,31,2026-02-20 11:36:48,,0.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,1,6,8.601115226745605,1,-1,3358.9658888488484,57903.909363139755,2026-02-20 11:36:48,10.0,40.0,7.659246444702148,32,2026-02-20 11:36:48,,2.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,1,14,10.164321899414062,1,-1,16743.58127346423,90941.50777776347,2026-02-20 11:36:48,39.0,112.0,7.659246444702148,37,2026-02-20 11:36:48,,9.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,1,18,8.5,1,-1,24589.735119618083,70293.00876862365,2026-02-20 11:36:48,56.0,67.0,7.659246444702148,40,2026-02-20 11:36:48,,2.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,1,20,8.0,1,-1,26435.888965771926,91859.21884483634,2026-02-20 11:36:48,60.0,114.0,7.659246444702148,41,2026-02-20 11:36:48,,14.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,1,23,15.705994606018066,16,-1,-1017.4955977078776,81099.54678392517,2026-02-20 11:36:48,0.5176667791270935,90.55106831122764,12.659246444702148,43,2026-02-20 11:36:48,,41.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,1,36,17.196008682250977,14,-1,27881.42428902854,84011.89744573798,2026-02-20 11:36:48,63.13199320038933,96.89805652202041,12.659246444702148,54,2026-02-20 11:36:48,,92.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,1,40,17.843242645263672,1,-1,10282.042811925772,48267.943158874514,2026-02-20 11:36:48,25.0,19.0,17.65924644470215,57,2026-02-20 11:36:48,,42.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,2,23,7.69752311706543,2,-1,26854.312724877156,72128.43090276941,2026-02-20 11:41:11,60.906584811394666,71.0,7.659246444702148,71,2026-02-20 11:41:11,,1.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,2,28,14.628439903259277,13,-1,-1017.3192103429581,82856.97203096417,2026-02-20 11:41:11,0.5180489517510858,94.3810869523768,12.659246444702148,73,2026-02-20 11:41:11,,49.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,2,33,12.694400787353516,2,-1,8893.081914575838,72587.28643630585,2026-02-20 11:41:11,21.990584722408475,72.0,12.659246444702148,78,2026-02-20 11:41:11,,21.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,2,35,14.083327293395996,20,-1,10697.756131664659,50270.962151463624,2026-02-20 11:41:11,25.90071219276759,23.365249727188996,12.659246444702148,80,2026-02-20 11:41:11,,45.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,2,48,18.591732025146484,1,-1,27820.50435038731,83140.96370764397,2026-02-20 11:41:11,63.0,95.0,17.65924644470215,91,2026-02-20 11:41:11,,107.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,2,5.986720085144043,4,-1,1921.0805238000787,63690.9948963271,2026-02-20 11:45:33,6.884581709060998,52.61199900671516,7.659246444702148,92,2026-02-20 11:45:33,,5.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,5,9.110098838806152,1,-1,2897.4274273103874,87729.51904300839,2026-02-20 11:45:33,9.0,105.0,7.659246444702148,94,2026-02-20 11:45:33,,9.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,7,8.46532917022705,1,-1,5205.119735002695,39549.688021682145,2026-02-20 11:45:33,14.0,0.0,7.659246444702148,96,2026-02-20 11:45:33,,2.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,10,10.099533081054688,2,22,8435.888965771926,57655.26203630214,2026-02-20 11:45:33,21.0,39.45811413688037,7.659246444702148,98,2026-02-20 11:45:33,0 days 00:00:00,9.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,17,10.645378112792969,1,-1,17666.658196541153,95530.06311312786,2026-02-20 11:45:33,41.0,122.0,7.659246444702148,103,2026-02-20 11:45:33,,8.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,25,14.636211395263672,15,-1,10187.107314169889,52429.03659101212,2026-02-20 11:45:33,24.79430642152892,28.06841724249828,12.659246444702148,107,2026-02-20 11:45:33,,61.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,37,18.179479598999023,1,-1,-1256.4187265357668,82682.10817410753,2026-02-20 11:45:33,0.0,94.0,17.65924644470215,116,2026-02-20 11:45:33,,8.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,38,17.854976654052734,1,-1,-1256.4187265357668,84058.67477471687,2026-02-20 11:45:33,0.0,97.0,17.65924644470215,117,2026-02-20 11:45:33,,37.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,40,17.922630310058594,1,-1,14897.427427310387,50103.36529302027,2026-02-20 11:45:33,35.0,23.0,17.65924644470215,119,2026-02-20 11:45:33,,32.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,3,42,20.682756423950195,6,-1,27803.19848749853,89436.92459304373,2026-02-20 11:45:33,62.96250396374097,108.72100895651457,17.65924644470215,121,2026-02-20 11:45:33,,92.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,4,5,12.23237419128418,1,-1,2897.4274273103874,63410.17576557704,2026-02-20 11:49:56,9.0,52.0,7.659246444702148,123,2026-02-20 11:49:56,,10.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,4,8,7.886111259460449,5,-1,5669.141771988853,83197.70296363372,2026-02-20 11:49:56,15.005381080136678,95.12365385582792,7.659246444702148,126,2026-02-20 11:49:56,,4.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,4,10,8.682714462280273,2,-1,6589.73511961808,42331.462789573765,2026-02-20 11:49:56,17.0,6.06241957343793,7.659246444702148,128,2026-02-20 11:49:56,,4.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,4,24,13.628746032714844,4,-1,-1076.2767526858302,84512.06896593467,2026-02-20 11:49:56,0.39030761000819625,97.98809790463558,12.659246444702148,135,2026-02-20 11:49:56,,26.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,4,41,22.744083404541016,4,-1,-1256.4187265357668,45885.82452119248,2026-02-20 11:49:56,0.0,13.808565085130764,17.65924644470215,146,2026-02-20 11:49:56,,8.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,4,42,17.99467658996582,1,22,7512.812042695003,57903.909363139755,2026-02-20 11:49:56,19.0,40.0,17.65924644470215,147,2026-02-20 11:49:56,0 days 00:04:23,32.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,4,43,17.91078758239746,1,-1,11666.658196541157,53315.35402777536,2026-02-20 11:49:56,28.0,30.0,17.65924644470215,148,2026-02-20 11:49:56,,59.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,4,44,18.253971099853516,1,-1,13512.812042695003,52856.49849423891,2026-02-20 11:49:56,32.0,29.0,17.65924644470215,149,2026-02-20 11:49:56,,38.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,4,45,16.67429542541504,2,-1,26303.839193843552,86943.09014113055,2026-02-20 11:49:56,59.71389216082186,103.28610783917814,17.65924644470215,150,2026-02-20 11:49:56,,130.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,5,6,11.43228816986084,3,-1,2953.401845957609,66357.20286760054,2026-02-20 11:54:09,9.121277907068981,58.42255979634919,7.659246444702148,156,2026-02-20 11:54:09,,6.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,5,13,12.086501121520996,2,-1,8436.587366244365,78093.55283874314,2026-02-20 11:54:09,21.001513201023617,84.0,7.659246444702148,161,2026-02-20 11:54:09,,5.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
