IOP Date,Seeding Start Time (UTC),Domain-IOP,Seeding Site ID,Seeding Mission,Drone (EL-###),Temperature (C),Relative Humidity (%),Altitude (m MSL),Air Pressure (mbar),Seeding Duration (sec),AgI Dispersed (grams),Seeding Dispersion Rate (g/min),Wind-Advected Strafing Length (m),Line Density Dispersion Rate (mg/m/s),Estimated Cloud Base (m MSL),Estimated Cloud Depth (m),Closest Sounding Wind Speed (m/s),Closest Sounding Wind Direction (deg from N),Sounding dt from Seeding Start (min),Sounding dt from Seeding End (min),Sounding-Seeding Distance at Alt (km),Sounding Brunt - Väisälä Frequency N (rad/s),Sounding Bulk Richardson Number,Median Drone Wind Speed during seeding  (m/s),Median Drone Wind Direction during seeding (deg from N),Standard Deviation of Drone Wind Speed during seeding (m/s),Standard Deviation of Drone Wind Direction during seeding (deg),Seeding Signature Observed,Signature Start Time UTC,Signature End Time UTC,Time to Initial Detection (min),Time to Peak Reflectivity (min),Time to Peak Area-Intensity Proxy (min),Time to Peak Area (min),Signature Lifetime (min),Peak Reflectivity (dBZ),Peak Area > 0 dBZ (km^2),Peak Area-Intensity Proxy,Peak Reflectivity Time UTC,Peak Area-Intensity Proxy Time UTC,Peak Area Time UTC,Farthest Downwind Distance (km),Crosswind Spread at Peak Area (km),Centroid Distance at Peak Area (km),Mean Motion Direction (deg),Mean Motion Speed (m/s),Radar Analysis Writeup Link
1/22/2026,19:25:33,PDT-024,Butter,1,EL-051,-8.5,86.2,1468.3,850.5,480,19.7,2.46,179.5,0.23,913,555.3,1.49,113.6,35.3,25.3,1.877,0.011,5.375,6.84,126.2,0.56,7.5,TRUE,2026-01-22T19:51:25Z,2026-01-22T20:43:27Z,25.867,43.283,52.067,60.833,52.033,14.5,3.258,0.262096,2026-01-22T20:08:50Z,2026-01-22T20:17:37Z,2026-01-22T20:26:23Z,5.47,3.942,2.03,211.0,1.46,PDT-024/025 MEGA OPS Full Report
1/22/2026,20:06:28,PDT-024,Butter,2,EL-051,-8.4,88.6,1435.2,853.7,480,19.7,2.46,44.3,0.93,923,512.2,1.55,108.6,-5.6,-15.6,1.908,0.0109,4.351,5.66,147.8,0.87,2.8,TRUE,2026-01-22T20:26:23Z,2026-01-22T21:33:53Z,19.917,36.983,36.983,36.983,67.5,20.5,5.352,0.707107,2026-01-22T20:43:27Z,2026-01-22T20:43:27Z,2026-01-22T20:43:27Z,3.838,3.135,0.743,218.5,0.93,PDT-024/025 MEGA OPS Full Report
1/22/2026,20:43:57,PDT-024,Butter,3,EL-051,-7.8,88,1435.9,853.8,480,19.7,2.46,61.3,0.67,923,512.9,0.49,103.7,13.1,3.1,8.934,0.032,10.626,6.48,140.2,1.16,16,TRUE,2026-01-22T20:51:53Z,2026-01-22T21:33:53Z,7.933,24.817,33.167,41.5,42.0,18.0,3.413,0.308839,2026-01-22T21:08:46Z,2026-01-22T21:17:07Z,2026-01-22T21:25:27Z,1.924,3.63,1.312,118.2,0.72,PDT-024/025 MEGA OPS Full Report
1/22/2026,21:18:22,PDT-024,Butter,4,EL-051,-7.9,87.9,1445,852.4,480,19.7,2.46,39.9,1.03,966.3,478.7,0.51,113.3,-21.3,-31.3,8.986,0.0324,10.27,4.01,116.3,0.83,9.5,TRUE,2026-01-22T21:33:53Z,2026-01-22T22:40:47Z,15.517,40.65,49.083,49.083,66.9,17.5,7.049,0.564574,2026-01-22T21:59:01Z,2026-01-22T22:07:27Z,2026-01-22T22:07:27Z,4.213,3.984,2.187,201.3,0.83,PDT-024/025 MEGA OPS Full Report
1/23/2026,00:21:15,PDT-024,Butter,5,EL-051,-8.3,91.7,1393,858.4,480,19.7,2.46,36.7,1.12,929.7,463.3,4.51,22,25.7,15.7,8.244,0.0263,1.649,6.29,155.9,0.21,4.3,TRUE,2026-01-23T00:39:19Z,2026-01-23T01:38:00Z,18.067,26.4,34.85,60.083,58.683,17.5,6.46,0.55607,2026-01-23T00:47:39Z,2026-01-23T00:56:06Z,2026-01-23T01:21:20Z,9.298,3.29,5.53,131.8,2.42,PDT-024/025 MEGA OPS Full Report
1/23/2026,22:16:35,PDT-025,Butter,2,EL-051,-12.5,88,1962.7,799.4,480,19.7,2.46,391.9,0.1,1003,959.7,4.81,48.4,16.4,6.4,7.807,0.0314,9.761,8.61,73.7,1.12,3.6,TRUE,2026-01-23T22:28:53Z,2026-01-24T00:49:23Z,12.3,20.933,29.583,55.65,140.5,26.0,31.436,5.209334,2026-01-23T22:37:31Z,2026-01-23T22:46:10Z,2026-01-23T23:12:14Z,30.116,14.284,11.328,252.9,2.88,PDT-024/025 MEGA OPS Full Report
1/23/2026,22:16:44,PDT-025,Butter,3,EL-054,-12.2,89.7,1941.1,802.4,480,19.7,2.46,393.2,0.1,1006.3,934.8,4.09,46.9,16.3,6.3,6.97,0.0305,9.642,7.97,65.9,2.12,6.2,TRUE,2026-01-23T22:28:53Z,2026-01-24T00:49:23Z,12.15,20.783,29.433,55.5,140.5,26.0,31.436,5.209334,2026-01-23T22:37:31Z,2026-01-23T22:46:10Z,2026-01-23T23:12:14Z,30.116,14.284,11.328,252.9,2.88,PDT-024/025 MEGA OPS Full Report
1/23/2026,22:16:56,PDT-025,Butter,1,EL-038,-12.2,87.8,1939.8,802.8,480,19.7,2.46,398.5,0.1,1006.3,933.5,4.11,46.6,16.1,6.1,8.701,0.0305,9.642,7.55,74.8,0.36,7,TRUE,2026-01-23T22:28:53Z,2026-01-24T00:49:23Z,11.95,20.583,29.233,55.3,140.5,26.0,31.436,5.209334,2026-01-23T22:37:31Z,2026-01-23T22:46:10Z,2026-01-23T23:12:14Z,30.116,14.284,11.328,252.9,2.88,PDT-024/025 MEGA OPS Full Report
1/23/2026,23:32:17,PDT-025,Butter,5,EL-051,-12.5,88.7,1948.1,801.7,480,19.7,2.46,379.6,0.11,936.3,1011.8,5.58,44.1,22.2,12.2,9.27,0.0322,14.742,6.87,105.2,0.41,10.2,TRUE,2026-01-23T23:39:26Z,2026-01-24T01:41:46Z,7.15,24.7,33.483,59.683,122.333,26.5,14.241,2.607677,2026-01-23T23:56:59Z,2026-01-24T00:05:46Z,2026-01-24T00:31:58Z,32.901,4.729,13.853,224.9,4.15,PDT-024/025 MEGA OPS Full Report
1/23/2026,23:32:56,PDT-025,Butter,4,EL-038,-12.5,89.2,1938,803.8,480,19.7,2.46,412.3,0.1,943,995,5.25,44.4,21.5,11.5,10.129,0.0321,9.897,7.29,69,0.64,4.5,TRUE,2026-01-23T23:39:26Z,2026-01-24T01:41:46Z,6.5,24.05,32.833,59.033,122.333,26.5,14.241,2.607677,2026-01-23T23:56:59Z,2026-01-24T00:05:46Z,2026-01-24T00:31:58Z,32.901,4.729,13.853,224.9,4.15,PDT-024/025 MEGA OPS Full Report
1/24/2026,00:28:37,PDT-025,Butter,7,EL-051,-12.6,89.3,1949,802.1,480,19.7,2.46,55,0.75,959.7,989.3,,,,,,,,10.17,48,0.54,5.7,TRUE,2026-01-24T00:40:44Z,2026-01-24T02:43:01Z,12.117,20.767,29.417,55.617,122.283,21.5,21.534,3.221677,2026-01-24T00:49:23Z,2026-01-24T00:58:02Z,2026-01-24T01:24:14Z,35.323,6.636,11.917,222.0,4.31,PDT-024/025 MEGA OPS Full Report
1/24/2026,00:28:38,PDT-025,Butter,8,EL-054,-12.9,92.6,1949.5,802.9,480,19.7,2.46,37.7,1.09,959.7,989.8,,,,,,,,9.83,30.8,0.72,13.7,TRUE,2026-01-24T00:40:44Z,2026-01-24T02:43:01Z,12.1,20.75,29.4,55.6,122.283,21.5,21.534,3.221677,2026-01-24T00:49:23Z,2026-01-24T00:58:02Z,2026-01-24T01:24:14Z,35.323,6.636,11.917,222.0,4.31,PDT-024/025 MEGA OPS Full Report
1/24/2026,00:29:24,PDT-025,Butter,6,EL-038,-12.4,88.7,1949.5,803.45,480,19.7,2.46,94,0.44,953,996.5,,,,,,,,9.76,62.4,0.91,4.9,TRUE,2026-01-24T00:40:44Z,2026-01-24T02:43:01Z,11.333,19.983,28.633,54.833,122.283,21.5,21.534,3.221677,2026-01-24T00:49:23Z,2026-01-24T00:58:02Z,2026-01-24T01:24:14Z,35.323,6.636,11.917,222.0,4.31,PDT-024/025 MEGA OPS Full Report
1/24/2026,01:36:10,PDT-025,Butter,9,EL-038,-12.4,90.2,1875.2,811.4,480,19.7,2.46,586.3,0.07,1603,272.2,5.74,40.56,,,,,,9.94,73.4,0.81,3.5,TRUE,2026-01-24T01:50:32Z,2026-01-24T04:10:22Z,14.367,31.767,84.4,84.4,139.833,23.5,30.794,2.761482,2026-01-24T02:07:56Z,2026-01-24T03:00:34Z,2026-01-24T03:00:34Z,34.767,7.75,15.582,226.6,3.77,PDT-024/025 MEGA OPS Full Report
1/24/2026,01:36:10,PDT-025,Butter,10,EL-061,-12.5,91,1900.3,808.9,480,19.7,2.46,560.2,0.07,1603,297.3,6.07,41.25,,,,,,9.27,96.6,0.94,5.7,TRUE,2026-01-24T01:50:32Z,2026-01-24T04:10:22Z,14.367,31.767,84.4,84.4,139.833,23.5,30.794,2.761482,2026-01-24T02:07:56Z,2026-01-24T03:00:34Z,2026-01-24T03:00:34Z,34.767,7.75,15.582,226.6,3.77,PDT-024/025 MEGA OPS Full Report
